tx_id,date,time,sender_acc_number,beneficiary_iban,amount,fee_type,catch
3c80e3b8-0a5d-41a3-8a5e-12b37722bc67,2026-06-12,12:11:48,161122649058/5432,CH5608540CCIP2HSQ6NKP,118,SHA,False
af59f011-8b54-4ede-bc6c-043bc4b898cb,2026-06-12,12:59:21,776493473828/5432,BE31406578522255,420,BEN,False
abe18969-c784-477e-80e4-820d7a829954,2026-06-12,11:35:20,797588966673/5432,NL02BKCH0819971456,77,BEN,False
4da9b1b6-198f-46d9-9130-337b6fe8d823,2026-06-12,15:23:51,360082511216/5432,IE22SUMU84131123937577,439,BEN,False
d442a383-3668-46f4-8d19-2493029952bd,2026-06-12,12:37:33,820246339869/5432,GR420723207GW2GAGD4YXSKSJAQ,449,OUR,False
4e1cc12f-0d33-45e2-9177-2ec03f9a7e2f,2026-06-12,13:19:04,217483652704/5432,BE21038735757203,474,BEN,False
b0d88575-d2ed-4ce8-ac65-4ec11634a389,2026-06-12,15:34:35,732128344027/5432,SA5749PIYLOBEAS55HEZKMZM,435,BEN,False
c610759b-ccaf-4e19-b520-893da2645f79,2026-06-12,10:52:20,109781039935/5432,CY7443296686HOJ1TVSHRNPFNN4U,454,OUR,False
4a19c809-2b1a-4e26-94e2-aa5c64035dc2,2026-06-12,22:52:52,144139875568/5432,PT50050081094904111336235,77,SHA,True
b2c5407d-3b3a-4641-a7fa-e3b8592a8858,2026-06-12,09:41:28,678732707666/5432,BE75253180840051,228,SHA,False
debc57eb-dd7f-4f9d-b957-cc4c2497693d,2026-06-12,09:44:40,263694783853/5432,GB67RAPH96097791009844,508,BEN,False
46d0b220-5ed8-4da3-a4e4-2988275aa5ec,2026-06-12,15:05:32,489432256875/5432,DE11420700244035115692,115,BEN,False
fca98762-358e-4f0c-bb12-02e7bf853b7b,2026-06-12,09:52:29,164819230224/5432,AD1900074570Z5TCBCQO2P27,355,SHA,False
91e6b65d-f473-4b87-8212-5397c5963130,2026-06-12,08:11:50,733577603495/5432,EE394227019421458331,503,SHA,False
a35d5798-569c-4c22-8d2b-7642e8046c4e,2026-06-12,08:36:52,415908614241/5432,MD16MLMQV3OJOBCTRAJZLKMD,76,OUR,False
efbc922b-de7b-4d55-9f78-30c72734f0f0,2026-06-12,09:43:13,786044713906/5432,IT05K08304426115GCATNRP0H4I,442,BEN,False
23010811-1c64-4c47-ba4f-6069cf24d099,2026-06-12,10:11:02,630225679068/5432,RS35385737463929176310,201,BEN,False
fbcd3606-bec4-42ed-bd10-3bf0d84e0379,2026-06-12,11:18:16,803597192195/5432,SA4386O4DFFZYRUTPVYIRUNW,150,OUR,False
